Comunidad;Provincia;Municipio;Frecuencia
ANDALUCÍA;ALMERÍA;CUEVAS DEL ALMANZORA;15,019 GHz
;;GALLARDOS (LOS);14,599 GHz
ANDALUCÍA;ALMERÍA;ALMERIA;18875 MHz
;;ROQUETAS DE MAR;17865 MHz
ANDALUCÍA;ALMERÍA;ALMERIA;14508 MHz
;;TABERNAS;14928 MHz
ANDALUCÍA;ALMERÍA;ALMERIA;19,095 GHz
;;;19,26 GHz
;;;19,315 GHz
;;;19,37 GHz
;;;19,48 GHz
;;;19,535 GHz
;;TABERNAS;18,085 GHz
;;;18,25 GHz
;;;18,305 GHz
;;;18,36 GHz
;;;18,47 GHz
;;;18,525 GHz
ANDALUCÍA;ALMERÍA;CUEVAS DEL ALMANZORA;15,019 GHz
;;MOJACAR;14,599 GHz
ANDALUCÍA;ALMERÍA;ALMERIA;12765 MHz
;;TABERNAS;13031 MHz
ANDALUCÍA;ALMERÍA;ALMERIA;12,793 GHz
;;PECHINA;13,059 GHz
ANDALUCÍA;ALMERÍA;ALMERIA;19535 MHz
;;PECHINA;18525 MHz
ANDALUCÍA;ALMERÍA;ALMERIA;37324 MHz
;;;38584 MHz
ANDALUCÍA;ALMERÍA;ROQUETAS DE MAR;37324 MHz
;;VICAR;38584 MHz
ANDALUCÍA;ALMERÍA;CUEVAS DEL ALMANZORA;15,019 GHz
;;GALLARDOS (LOS);14,599 GHz
ANDALUCÍA;ALMERÍA;ALMERIA;18875 MHz
;;ROQUETAS DE MAR;17865 MHz
ANDALUCÍA;ALMERÍA;ALMERIA;14508 MHz
;;TABERNAS;14928 MHz
ANDALUCÍA;ALMERÍA;ALMERIA;19,095 GHz
;;;19,26 GHz
;;;19,315 GHz
;;;19,37 GHz
;;;19,48 GHz
;;;19,535 GHz
;;TABERNAS;18,085 GHz
;;;18,25 GHz
;;;18,305 GHz
;;;18,36 GHz
;;;18,47 GHz
;;;18,525 GHz
ANDALUCÍA;ALMERÍA;CUEVAS DEL ALMANZORA;15,019 GHz
;;MOJACAR;14,599 GHz
ANDALUCÍA;ALMERÍA;ALMERIA;12765 MHz
;;TABERNAS;13031 MHz
ANDALUCÍA;ALMERÍA;ALMERIA;12,793 GHz
;;PECHINA;13,059 GHz
ANDALUCÍA;ALMERÍA;ALMERIA;19535 MHz
;;PECHINA;18525 MHz
ANDALUCÍA;ALMERÍA;ALMERIA;37324 MHz
;;;38584 MHz
ANDALUCÍA;ALMERÍA;ROQUETAS DE MAR;37324 MHz
;;VICAR;38584 MHz
ANDALUCÍA;ALMERÍA;CUEVAS DEL ALMANZORA;15,019 GHz
;;GALLARDOS (LOS);14,599 GHz
ANDALUCÍA;ALMERÍA;ALMERIA;18875 MHz
;;ROQUETAS DE MAR;17865 MHz
ANDALUCÍA;ALMERÍA;ALMERIA;14508 MHz
;;TABERNAS;14928 MHz
ANDALUCÍA;ALMERÍA;ALMERIA;19,095 GHz
;;;19,26 GHz
;;;19,315 GHz
;;;19,37 GHz
;;;19,48 GHz
;;;19,535 GHz
;;TABERNAS;18,085 GHz
;;;18,25 GHz
;;;18,305 GHz
;;;18,36 GHz
;;;18,47 GHz
;;;18,525 GHz
ANDALUCÍA;ALMERÍA;CUEVAS DEL ALMANZORA;15,019 GHz
;;MOJACAR;14,599 GHz
ANDALUCÍA;ALMERÍA;ALMERIA;12765 MHz
;;TABERNAS;13031 MHz
ANDALUCÍA;ALMERÍA;ALMERIA;12,793 GHz
;;PECHINA;13,059 GHz
ANDALUCÍA;ALMERÍA;ALMERIA;19535 MHz
;;PECHINA;18525 MHz
ANDALUCÍA;ALMERÍA;ALMERIA;37324 MHz
;;;38584 MHz
ANDALUCÍA;ALMERÍA;ROQUETAS DE MAR;37324 MHz
;;VICAR;38584 MHz
ANDALUCÍA;ALMERÍA;CUEVAS DEL ALMANZORA;15,019 GHz
;;GALLARDOS (LOS);14,599 GHz
ANDALUCÍA;ALMERÍA;ALMERIA;18875 MHz
;;ROQUETAS DE MAR;17865 MHz
ANDALUCÍA;ALMERÍA;ALMERIA;14508 MHz
;;TABERNAS;14928 MHz
ANDALUCÍA;ALMERÍA;ALMERIA;19,095 GHz
;;;19,26 GHz
;;;19,315 GHz
;;;19,37 GHz
;;;19,48 GHz
;;;19,535 GHz
;;TABERNAS;18,085 GHz
;;;18,25 GHz
;;;18,305 GHz
;;;18,36 GHz
;;;18,47 GHz
;;;18,525 GHz
ANDALUCÍA;ALMERÍA;CUEVAS DEL ALMANZORA;15,019 GHz
;;MOJACAR;14,599 GHz
ANDALUCÍA;ALMERÍA;ALMERIA;12765 MHz
;;TABERNAS;13031 MHz
ANDALUCÍA;ALMERÍA;ALMERIA;12,793 GHz
;;PECHINA;13,059 GHz
ANDALUCÍA;ALMERÍA;ALMERIA;19535 MHz
;;PECHINA;18525 MHz
