Referencia,Titular,NIF/CIF,Domicilio social,Localidad,Provincia,C. Postal,F. Concesion,F. Caducidad,Susceptible cesion,Susceptible mutualizacion,Obtenido por transferencia
ALAL-0700001,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,05/02/2007,31/12/2022,true,,
ALAL-0900386,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,01/02/2010,31/12/2025,true,,
ALAL-1000193,AXION INFRAESTRUCTURAS DE TELECOMUNICACIONES S.A.U.,A41999913,"AVDA ANDALUCÍA, S/N.",SEVILLA,SEVILLA,41907,17/09/2010,31/12/2025,true,,
ALAL-1000250,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,17/09/2010,31/12/2025,true,,
ALAL-1000334,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,10/12/2010,31/12/2025,true,,
ALAL-1100049,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,20/06/2011,31/12/2026,true,,
ALAL-1100050,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,05/07/2011,31/12/2026,true,,
ALAL-1200070,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,22/08/2012,31/12/2022,true,,
ALAL-1200175,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,01/10/2012,31/12/2022,true,,
ALAL-1200176,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,01/10/2012,31/12/2022,true,,
1 2 3 4 5 6 7 8 9 10 ...,1,2,3,4,5,6,7,8,9,10,...
ALAL-1200194,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,08/01/2013,31/12/2023,true,,
ALAL-1200308,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,11/02/2013,31/12/2023,true,,
ALAL-1200341,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,09/05/2013,31/12/2023,true,,
ALAL-1300059,"XFERA MOVILES, S.A.U.",A82528548,"AVDA BRUSELAS, 38.",MADRID,MADRID,28108,21/03/2013,31/12/2023,true,,
ALAL-1300196,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,04/07/2013,31/12/2023,true,,
ALAL-1300228,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,02/09/2013,31/12/2023,true,,
ALAL-1300386,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,23/10/2013,31/12/2023,true,,
ALAL-1300389,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,24/10/2013,31/12/2023,true,,
ALAL-1300395,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,05/11/2013,31/12/2023,true,,
ALAL-1300399,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,13/12/2013,31/12/2023,true,,
1 2 3 4 5 6 7 8 9 10 ...,1,2,3,4,5,6,7,8,9,10,...
ALAL-1300406,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,21/01/2014,31/12/2024,true,,
ALAL-1300524,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,03/02/2014,31/12/2024,true,,
ALAL-1300535,SONIMAR TELECOM SL,B04360624,AVDA ROQUETAS,ROQUETAS,ALMERÍA,04740,14/02/2014,31/12/2024,true,,
ALAL-1400014,TELPLAY SL,B73264129,CALLE JUAN RAMON JIMENEZ,PUERTO LUMBRERAS,MURCIA,30890,28/02/2014,31/12/2024,true,,
