:Referencia:Titular:NIF/CIF:Domicilio social:Localidad:Provincia_x:C. Postal:F. Concesion:F. Caducidad:Susceptible cesion:Susceptible mutualizacion:Obtenido por transferencia:dia_concesion:mes_concesion:año_concesion:Comunidad:Provincia_y:Municipio:Frequencias:Tipo:codigopostalid:lat:lon
0:ALAL-0700001:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2007-05-02:2022-12-31:True:False:False:5722:477:16:ANDALUCÍA:ALMERÍA:CUEVAS DEL ALMANZORA:15.019:GHz:240.0:-2712437310.0:42939811580.0
1:ALAL-0700001:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2007-05-02:2022-12-31:True:False:False:5722:477:16:ANDALUCÍA:ALMERÍA:GALLARDOS (LOS):14.599:GHz:240.0:-2712437310.0:42939811580.0
2:ALAL-0900386:XFERA MOVILES SA:A82528548:AVDA BRUSELAS, 38.:ALCOBENDAS:MADRID:28108:2010-01-02:2025-12-31:True:False:False:5842:487:16:ANDALUCÍA:ALMERÍA:ALMERIA:18875.0:MHz:240.0:-2712437310.0:42939811580.0
3:ALAL-0900386:XFERA MOVILES SA:A82528548:AVDA BRUSELAS, 38.:ALCOBENDAS:MADRID:28108:2010-01-02:2025-12-31:True:False:False:5842:487:16:ANDALUCÍA:ALMERÍA:ROQUETAS DE MAR:17865.0:MHz:240.0:-2712437310.0:42939811580.0
4:ALAL-1000193:AXION INFRAESTRUCTURAS DE TELECOMUNICACIONES S.A.U.:A41999913:AVDA ANDALUCÍA, S/N.:SEVILLA:SEVILLA:41907:2010-09-17:2025-12-31:True:False:False:5584:465:16:ANDALUCÍA:ALMERÍA:ALMERIA:14508.0:MHz:240.0:-2712437310.0:42939811580.0
5:ALAL-1000193:AXION INFRAESTRUCTURAS DE TELECOMUNICACIONES S.A.U.:A41999913:AVDA ANDALUCÍA, S/N.:SEVILLA:SEVILLA:41907:2010-09-17:2025-12-31:True:False:False:5584:465:16:ANDALUCÍA:ALMERÍA:TABERNAS:14928.0:MHz:240.0:-2712437310.0:42939811580.0
6:ALAL-1000250:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2010-09-17:2025-12-31:True:False:False:5584:465:16:ANDALUCÍA:ALMERÍA:ALMERIA:19.095:GHz:240.0:-2712437310.0:42939811580.0
7:ALAL-1000250:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2010-09-17:2025-12-31:True:False:False:5584:465:16:ANDALUCÍA:ALMERÍA:ALMERIA:19.26:GHz:240.0:-2712437310.0:42939811580.0
8:ALAL-1000250:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2010-09-17:2025-12-31:True:False:False:5584:465:16:ANDALUCÍA:ALMERÍA:ALMERIA:19.315:GHz:240.0:-2712437310.0:42939811580.0
9:ALAL-1000250:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2010-09-17:2025-12-31:True:False:False:5584:465:16:ANDALUCÍA:ALMERÍA:ALMERIA:19.37:GHz:240.0:-2712437310.0:42939811580.0
10:ALAL-1000250:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2010-09-17:2025-12-31:True:False:False:5584:465:16:ANDALUCÍA:ALMERÍA:ALMERIA:19.48:GHz:240.0:-2712437310.0:42939811580.0
11:ALAL-1000250:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2010-09-17:2025-12-31:True:False:False:5584:465:16:ANDALUCÍA:ALMERÍA:ALMERIA:19.535:GHz:240.0:-2712437310.0:42939811580.0
12:ALAL-1000250:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2010-09-17:2025-12-31:True:False:False:5584:465:16:ANDALUCÍA:ALMERÍA:TABERNAS:18.085:GHz:240.0:-2712437310.0:42939811580.0
13:ALAL-1000250:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2010-09-17:2025-12-31:True:False:False:5584:465:16:ANDALUCÍA:ALMERÍA:TABERNAS:18.25:GHz:240.0:-2712437310.0:42939811580.0
14:ALAL-1000250:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2010-09-17:2025-12-31:True:False:False:5584:465:16:ANDALUCÍA:ALMERÍA:TABERNAS:18.305:GHz:240.0:-2712437310.0:42939811580.0
15:ALAL-1000250:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2010-09-17:2025-12-31:True:False:False:5584:465:16:ANDALUCÍA:ALMERÍA:TABERNAS:18.36:GHz:240.0:-2712437310.0:42939811580.0
16:ALAL-1000250:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2010-09-17:2025-12-31:True:False:False:5584:465:16:ANDALUCÍA:ALMERÍA:TABERNAS:18.47:GHz:240.0:-2712437310.0:42939811580.0
17:ALAL-1000250:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2010-09-17:2025-12-31:True:False:False:5584:465:16:ANDALUCÍA:ALMERÍA:TABERNAS:18.525:GHz:240.0:-2712437310.0:42939811580.0
18:ALAL-1000334:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2010-10-12:2025-12-31:True:False:False:5559:463:15:ANDALUCÍA:ALMERÍA:CUEVAS DEL ALMANZORA:15.019:GHz:240.0:-2712437310.0:42939811580.0
19:ALAL-1000334:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2010-10-12:2025-12-31:True:False:False:5559:463:15:ANDALUCÍA:ALMERÍA:MOJACAR:14.599:GHz:1450.0:-3000073260.0:43054277760.0
20:ALAL-1100049:XFERA MOVILES SA:A82528548:AVDA BRUSELAS, 38.:ALCOBENDAS:MADRID:28108:2011-06-20:2026-12-31:True:False:False:5673:473:16:ANDALUCÍA:ALMERÍA:ALMERIA:12765.0:MHz:240.0:-2712437310.0:42939811580.0
21:ALAL-1100049:XFERA MOVILES SA:A82528548:AVDA BRUSELAS, 38.:ALCOBENDAS:MADRID:28108:2011-06-20:2026-12-31:True:False:False:5673:473:16:ANDALUCÍA:ALMERÍA:TABERNAS:13031.0:MHz:240.0:-2712437310.0:42939811580.0
22:ALAL-1100050:XFERA MOVILES SA:A82528548:AVDA BRUSELAS, 38.:ALCOBENDAS:MADRID:28108:2011-05-07:2026-12-31:True:False:False:5717:476:16:ANDALUCÍA:ALMERÍA:ALMERIA:12.793:GHz:240.0:-2712437310.0:42939811580.0
23:ALAL-1100050:XFERA MOVILES SA:A82528548:AVDA BRUSELAS, 38.:ALCOBENDAS:MADRID:28108:2011-05-07:2026-12-31:True:False:False:5717:476:16:ANDALUCÍA:ALMERÍA:PECHINA:13.059:GHz:1474.0:-3127917180.0:43120843580.0
24:ALAL-1200070:XFERA MOVILES SA:A82528548:AVDA BRUSELAS, 38.:ALCOBENDAS:MADRID:28108:2012-08-22:2022-12-31:True:False:False:3783:315:11:ANDALUCÍA:ALMERÍA:ALMERIA:19535.0:MHz:240.0:-2712437310.0:42939811580.0
25:ALAL-1200070:XFERA MOVILES SA:A82528548:AVDA BRUSELAS, 38.:ALCOBENDAS:MADRID:28108:2012-08-22:2022-12-31:True:False:False:3783:315:11:ANDALUCÍA:ALMERÍA:PECHINA:18525.0:MHz:1474.0:-3127917180.0:43120843580.0
26:ALAL-1200175:XFERA MOVILES SA:A82528548:AVDA BRUSELAS, 38.:ALCOBENDAS:MADRID:28108:2012-01-10:2022-12-31:True:False:False:4008:334:11:ANDALUCÍA:ALMERÍA:ALMERIA:37324.0:MHz:240.0:-2712437310.0:42939811580.0
27:ALAL-1200175:XFERA MOVILES SA:A82528548:AVDA BRUSELAS, 38.:ALCOBENDAS:MADRID:28108:2012-01-10:2022-12-31:True:False:False:4008:334:11:ANDALUCÍA:ALMERÍA:ALMERIA:38584.0:MHz:240.0:-2712437310.0:42939811580.0
28:ALAL-1200176:XFERA MOVILES SA:A82528548:AVDA BRUSELAS, 38.:ALCOBENDAS:MADRID:28108:2012-01-10:2022-12-31:True:False:False:4008:334:11:ANDALUCÍA:ALMERÍA:ROQUETAS DE MAR:37324.0:MHz:240.0:-2712437310.0:42939811580.0
29:ALAL-1200176:XFERA MOVILES SA:A82528548:AVDA BRUSELAS, 38.:ALCOBENDAS:MADRID:28108:2012-01-10:2022-12-31:True:False:False:4008:334:11:ANDALUCÍA:ALMERÍA:VICAR:38584.0:MHz:1450.0:-3000073260.0:43054277760.0
30:ALAL-1200194:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2013-08-01:2023-12-31:True:False:False:3804:317:11:ANDALUCÍA:ALMERÍA:ALMERIA:18645.5:MHz:240.0:-2712437310.0:42939811580.0
31:ALAL-1200194:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2013-08-01:2023-12-31:True:False:False:3804:317:11:ANDALUCÍA:ALMERÍA:ALMERIA:19655.5:MHz:240.0:-2712437310.0:42939811580.0
32:ALAL-1200194:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2013-08-01:2023-12-31:True:False:False:3804:317:11:ANDALUCÍA:ALMERÍA:EJIDO (EL):18593.75:MHz:240.0:-2712437310.0:42939811580.0
33:ALAL-1200194:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2013-08-01:2023-12-31:True:False:False:3804:317:11:ANDALUCÍA:ALMERÍA:FELIX:19603.75:MHz:240.0:-2712437310.0:42939811580.0
34:ALAL-1200308:XFERA MOVILES SA:A82528548:AVDA BRUSELAS, 38.:ALCOBENDAS:MADRID:28108:2013-11-02:2023-12-31:True:False:False:3711:309:10:ANDALUCÍA:ALMERÍA:MACAEL:38584.0:MHz:240.0:-2712437310.0:42939811580.0
35:ALAL-1200308:XFERA MOVILES SA:A82528548:AVDA BRUSELAS, 38.:ALCOBENDAS:MADRID:28108:2013-11-02:2023-12-31:True:False:False:3711:309:10:ANDALUCÍA:ALMERÍA:OLULA DEL RIO:37324.0:MHz:240.0:-2712437310.0:42939811580.0
36:ALAL-1200341:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2013-09-05:2023-12-31:True:False:False:3769:314:10:ANDALUCÍA:ALMERÍA:ALMERIA:12.933:GHz:240.0:-2712437310.0:42939811580.0
37:ALAL-1200341:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2013-09-05:2023-12-31:True:False:False:3769:314:10:ANDALUCÍA:ALMERÍA:PECHINA:13.199:GHz:1474.0:-3127917180.0:43120843580.0
38:ALAL-1300059:XFERA MOVILES, S.A.U.:A82528548:AVDA BRUSELAS, 38.:MADRID:MADRID:28108:2013-03-21:2023-12-31:True:False:False:3937:328:11:ANDALUCÍA:ALMERÍA:CUEVAS DEL ALMANZORA:8251.745:MHz:240.0:-2712437310.0:42939811580.0
39:ALAL-1300059:XFERA MOVILES, S.A.U.:A82528548:AVDA BRUSELAS, 38.:MADRID:MADRID:28108:2013-03-21:2023-12-31:True:False:False:3937:328:11:ANDALUCÍA:ALMERÍA:CUEVAS DEL ALMANZORA:29298.5:MHz:240.0:-2712437310.0:42939811580.0
40:ALAL-1300059:XFERA MOVILES, S.A.U.:A82528548:AVDA BRUSELAS, 38.:MADRID:MADRID:28108:2013-03-21:2023-12-31:True:False:False:3937:328:11:ANDALUCÍA:ALMERÍA:HUERCAL-OVERA:28290.5:MHz:240.0:-2712437310.0:42939811580.0
