;Referencia;Comunidad;Provincia;Municipio;Frequencias;Tipo;codigopostalid;lat;lon
0;ALAL-0700001;ANDALUCÍA;ALMERÍA;CUEVAS DEL ALMANZORA;15.019;GHz;240;-2712437310.0;42939811580.0
14665;ALAL-0700001;ANDALUCÍA;ALMERÍA;GALLARDOS (LOS);14.599;GHz;240;-2712437310.0;42939811580.0
29330;ALAL-0900386;ANDALUCÍA;ALMERÍA;ALMERIA;18875.0;MHz;240;-2712437310.0;42939811580.0
43995;ALAL-0900386;ANDALUCÍA;ALMERÍA;ROQUETAS DE MAR;17865.0;MHz;240;-2712437310.0;42939811580.0
58660;ALAL-1000193;ANDALUCÍA;ALMERÍA;ALMERIA;14508.0;MHz;240;-2712437310.0;42939811580.0
73325;ALAL-1000193;ANDALUCÍA;ALMERÍA;TABERNAS;14928.0;MHz;240;-2712437310.0;42939811580.0
87990;ALAL-1000250;ANDALUCÍA;ALMERÍA;ALMERIA;19.095;GHz;240;-2712437310.0;42939811580.0
102655;ALAL-1000250;ANDALUCÍA;ALMERÍA;ALMERIA;19.26;GHz;240;-2712437310.0;42939811580.0
117320;ALAL-1000250;ANDALUCÍA;ALMERÍA;ALMERIA;19.315;GHz;240;-2712437310.0;42939811580.0
131985;ALAL-1000250;ANDALUCÍA;ALMERÍA;ALMERIA;19.37;GHz;240;-2712437310.0;42939811580.0
146650;ALAL-1000250;ANDALUCÍA;ALMERÍA;ALMERIA;19.48;GHz;240;-2712437310.0;42939811580.0
161315;ALAL-1000250;ANDALUCÍA;ALMERÍA;ALMERIA;19.535;GHz;240;-2712437310.0;42939811580.0
175980;ALAL-1000250;ANDALUCÍA;ALMERÍA;TABERNAS;18.085;GHz;240;-2712437310.0;42939811580.0
190645;ALAL-1000250;ANDALUCÍA;ALMERÍA;TABERNAS;18.25;GHz;240;-2712437310.0;42939811580.0
205310;ALAL-1000250;ANDALUCÍA;ALMERÍA;TABERNAS;18.305;GHz;240;-2712437310.0;42939811580.0
219975;ALAL-1000250;ANDALUCÍA;ALMERÍA;TABERNAS;18.36;GHz;240;-2712437310.0;42939811580.0
234640;ALAL-1000250;ANDALUCÍA;ALMERÍA;TABERNAS;18.47;GHz;240;-2712437310.0;42939811580.0
249305;ALAL-1000250;ANDALUCÍA;ALMERÍA;TABERNAS;18.525;GHz;240;-2712437310.0;42939811580.0
263970;ALAL-1000334;ANDALUCÍA;ALMERÍA;CUEVAS DEL ALMANZORA;15.019;GHz;240;-2712437310.0;42939811580.0
278637;ALAL-1000334;ANDALUCÍA;ALMERÍA;MOJACAR;14.599;GHz;1450;-3000073260.0;43054277760.0
293300;ALAL-1100049;ANDALUCÍA;ALMERÍA;ALMERIA;12765.0;MHz;240;-2712437310.0;42939811580.0
307965;ALAL-1100049;ANDALUCÍA;ALMERÍA;TABERNAS;13031.0;MHz;240;-2712437310.0;42939811580.0
322630;ALAL-1100050;ANDALUCÍA;ALMERÍA;ALMERIA;12.793;GHz;240;-2712437310.0;42939811580.0
337303;ALAL-1100050;ANDALUCÍA;ALMERÍA;PECHINA;13.059;GHz;1474;-3127917180.0;43120843580.0
351960;ALAL-1200070;ANDALUCÍA;ALMERÍA;ALMERIA;19535.0;MHz;240;-2712437310.0;42939811580.0
366633;ALAL-1200070;ANDALUCÍA;ALMERÍA;PECHINA;18525.0;MHz;1474;-3127917180.0;43120843580.0
381290;ALAL-1200175;ANDALUCÍA;ALMERÍA;ALMERIA;37324.0;MHz;240;-2712437310.0;42939811580.0
395955;ALAL-1200175;ANDALUCÍA;ALMERÍA;ALMERIA;38584.0;MHz;240;-2712437310.0;42939811580.0
410620;ALAL-1200176;ANDALUCÍA;ALMERÍA;ROQUETAS DE MAR;37324.0;MHz;240;-2712437310.0;42939811580.0
425287;ALAL-1200176;ANDALUCÍA;ALMERÍA;VICAR;38584.0;MHz;1450;-3000073260.0;43054277760.0
439950;ALAL-1200194;ANDALUCÍA;ALMERÍA;ALMERIA;18645.5;MHz;240;-2712437310.0;42939811580.0
454615;ALAL-1200194;ANDALUCÍA;ALMERÍA;ALMERIA;19655.5;MHz;240;-2712437310.0;42939811580.0
469280;ALAL-1200194;ANDALUCÍA;ALMERÍA;EJIDO (EL);18593.75;MHz;240;-2712437310.0;42939811580.0
483945;ALAL-1200194;ANDALUCÍA;ALMERÍA;FELIX;19603.75;MHz;240;-2712437310.0;42939811580.0
498610;ALAL-1200308;ANDALUCÍA;ALMERÍA;MACAEL;38584.0;MHz;240;-2712437310.0;42939811580.0
