;Referencia;Titular;NIF/CIF;Domicilio social;Localidad;Provincia_x;C. Postal;F. Concesion;F. Caducidad;Susceptible cesion;Susceptible mutualizacion;Obtenido por transferencia;dia_concesion;mes_concesion;año_concesion;Comunidad;Provincia_y;Municipio;Frequencias;Tipo;codigopostalid;lat;lon;brand_sort;score_sort;match_sort;ratio
3;ALAL-0700001;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2007-05-02;2022-12-31;True;False;False;5722;477;16;ANDALUCÍA;ALMERÍA;CUEVAS DEL ALMANZORA;15.019;GHz;240.0;-2712437310.0;42939811580.0;VODAFONE ESPAÑA SA;100;VODAFONE ESPAÑA, SA;73
254;ALAL-0900386;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2010-01-02;2025-12-31;True;False;False;5842;487;16;ANDALUCÍA;ALMERÍA;ALMERIA;18875.0;MHz;240.0;-2712437310.0;42939811580.0;XFERA MOVILES S.A.;94;XFERA MOVILES, S.A.U.;86
438;ALAL-1000193;AXION INFRAESTRUCTURAS DE TELECOMUNICACIONES S.A.U.;A41999913;AVDA ANDALUCÍA, S/N.;SEVILLA;SEVILLA;41907;;2025-12-31;True;False;False;0;0;0;ANDALUCÍA;ALMERÍA;ALMERIA;14508.0;MHz;240.0;-2712437310.0;42939811580.0;REDES DE TELECOMUNICACION GALEGAS RETEGAL SA;100;REDES DE TELECOMUNICACION GALEGAS RETEGAL, SA;62
645;ALAL-1000250;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;;2025-12-31;True;False;False;0;0;0;ANDALUCÍA;ALMERÍA;ALMERIA;19.095;GHz;240.0;-2712437310.0;42939811580.0;VODAFONE ESPAÑA SA;100;VODAFONE ESPAÑA, SA;73
1929;ALAL-1000334;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2010-10-12;2025-12-31;True;False;False;5559;463;15;ANDALUCÍA;ALMERÍA;CUEVAS DEL ALMANZORA;15.019;GHz;240.0;-2712437310.0;42939811580.0;VODAFONE ESPAÑA SA;100;VODAFONE ESPAÑA, SA;73
2180;ALAL-1100049;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;;2026-12-31;True;False;False;0;0;0;ANDALUCÍA;ALMERÍA;ALMERIA;12765.0;MHz;240.0;-2712437310.0;42939811580.0;XFERA MOVILES S.A.;94;XFERA MOVILES, S.A.U.;86
2394;ALAL-1100050;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2011-05-07;2026-12-31;True;False;False;5717;476;16;ANDALUCÍA;ALMERÍA;ALMERIA;12.793;GHz;240.0;-2712437310.0;42939811580.0;XFERA MOVILES S.A.;94;XFERA MOVILES, S.A.U.;86
2608;ALAL-1200070;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;;2022-12-31;True;False;False;0;0;0;ANDALUCÍA;ALMERÍA;ALMERIA;19535.0;MHz;240.0;-2712437310.0;42939811580.0;XFERA MOVILES S.A.;94;XFERA MOVILES, S.A.U.;86
2822;ALAL-1200175;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2012-01-10;2022-12-31;True;False;False;4008;334;11;ANDALUCÍA;ALMERÍA;ALMERIA;37324.0;MHz;240.0;-2712437310.0;42939811580.0;XFERA MOVILES S.A.;94;XFERA MOVILES, S.A.U.;86
3036;ALAL-1200176;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2012-01-10;2022-12-31;True;False;False;4008;334;11;ANDALUCÍA;ALMERÍA;ROQUETAS DE MAR;37324.0;MHz;240.0;-2712437310.0;42939811580.0;XFERA MOVILES S.A.;94;XFERA MOVILES, S.A.U.;86
3213;ALAL-1200194;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2013-08-01;2023-12-31;True;False;False;3804;317;11;ANDALUCÍA;ALMERÍA;ALMERIA;18645.5;MHz;240.0;-2712437310.0;42939811580.0;VODAFONE ESPAÑA SA;100;VODAFONE ESPAÑA, SA;73
3678;ALAL-1200308;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2013-11-02;2023-12-31;True;False;False;3711;309;10;ANDALUCÍA;ALMERÍA;MACAEL;38584.0;MHz;240.0;-2712437310.0;42939811580.0;XFERA MOVILES S.A.;94;XFERA MOVILES, S.A.U.;86
3855;ALAL-1200341;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2013-09-05;2023-12-31;True;False;False;3769;314;10;ANDALUCÍA;ALMERÍA;ALMERIA;12.933;GHz;240.0;-2712437310.0;42939811580.0;VODAFONE ESPAÑA SA;100;VODAFONE ESPAÑA, SA;73
4106;ALAL-1300059;XFERA MOVILES, S.A.U.;A82528548;AVDA BRUSELAS, 38.;MADRID;MADRID;28108;;2023-12-31;True;False;False;0;0;0;ANDALUCÍA;ALMERÍA;CUEVAS DEL ALMANZORA;8251.745;MHz;240.0;-2712437310.0;42939811580.0;XFERA MOVILES S.A.;94;XFERA MOVILES, S.A.U.;100
4711;ALAL-1300196;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2013-04-07;2023-12-31;True;False;False;3920;327;11;ANDALUCÍA;ALMERÍA;ALMERIA;22.106;GHz;240.0;-2712437310.0;42939811580.0;VODAFONE ESPAÑA SA;100;VODAFONE ESPAÑA, SA;73
5567;ALAL-1300228;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2013-02-09;2023-12-31;True;False;False;3977;331;11;ANDALUCÍA;ALMERÍA;CUEVAS DEL ALMANZORA;15.019;GHz;240.0;-2712437310.0;42939811580.0;VODAFONE ESPAÑA SA;100;VODAFONE ESPAÑA, SA;73
6246;ALAL-1300386;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;;2023-12-31;True;False;False;0;0;0;ANDALUCÍA;ALMERÍA;EJIDO (EL);28962.5;MHz;240.0;-2712437310.0;42939811580.0;XFERA MOVILES S.A.;94;XFERA MOVILES, S.A.U.;86
6423;ALAL-1300389;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;;2023-12-31;True;False;False;0;0;0;ANDALUCÍA;ALMERÍA;ALMERIA;14.907;GHz;240.0;-2712437310.0;42939811580.0;VODAFONE ESPAÑA SA;100;VODAFONE ESPAÑA, SA;73
6851;ALAL-1300395;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2013-05-11;2023-12-31;True;False;False;3886;324;11;ANDALUCÍA;ALMERÍA;ALMERIA;6860.0;MHz;240.0;-2712437310.0;42939811580.0;VODAFONE ESPAÑA SA;100;VODAFONE ESPAÑA, SA;73
8172;ALAL-1300399;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;;2023-12-31;True;False;False;0;0;0;ANDALUCÍA;ALMERÍA;CUEVAS DEL ALMANZORA;15.159;GHz;240.0;-2712437310.0;42939811580.0;XFERA MOVILES S.A.;94;XFERA MOVILES, S.A.U.;86
8349;ALAL-1300406;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;;2024-12-31;True;False;False;0;0;0;ANDALUCÍA;ALMERÍA;DALIAS;14.739;GHz;240.0;-2712437310.0;42939811580.0;VODAFONE ESPAÑA SA;100;VODAFONE ESPAÑA, SA;73
8991;ALAL-1300524;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2014-03-02;2024-12-31;True;False;False;3957;330;11;ANDALUCÍA;ALMERÍA;ADRA;38.03975;GHz;240.0;-2712437310.0;42939811580.0;VODAFONE ESPAÑA SA;100;VODAFONE ESPAÑA, SA;73
11137;ALAL-1400014;TELPLAY SL;B73264129;CALLE JUAN RAMON JIMENEZ;PUERTO LUMBRERAS;MURCIA;30890;;2024-12-31;True;False;False;0;0;0;ANDALUCÍA;ALMERÍA;ARBOLEAS;7866.3;MHz;240.0;-2712437310.0;42939811580.0;TELPLAY . SL;100;TELPLAY SL;100
11557;ALAL-1400026;RETEVISION I SA;A62275680;VIA AV DEL PARQUE LOGISTICO, 12-20;BARCELONA;BARCELONA;8040;;2024-12-31;True;False;False;0;0;0;ANDALUCÍA;ALMERÍA;ALMERIA;19535.0;MHz;240.0;-2712437310.0;42939811580.0;RETEVISION I S.A.;100;RETEVISION I, S.A.;90
