;Referencia;Titular;NIF/CIF;Domicilio social;Localidad;Provincia;C. Postal;F. Concesion;F. Caducidad;Susceptible cesion;Susceptible mutualizacion;Obtenido por transferencia;dia_concesion;mes_concesion;año_concesion
0;ALAL-0700001;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2007-05-02;2022-12-31;True;False;False;5722;477;16
1;ALAL-0900386;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2010-01-02;2025-12-31;True;False;False;5842;487;16
2;ALAL-1000193;AXION INFRAESTRUCTURAS DE TELECOMUNICACIONES S.A.U.;A41999913;AVDA ANDALUCÍA, S/N.;SEVILLA;SEVILLA;41907;2010-09-17;2025-12-31;True;False;False;5584;465;16
3;ALAL-1000250;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2010-09-17;2025-12-31;True;False;False;5584;465;16
4;ALAL-1000334;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2010-10-12;2025-12-31;True;False;False;5559;463;15
5;ALAL-1100049;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2011-06-20;2026-12-31;True;False;False;5673;473;16
6;ALAL-1100050;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2011-05-07;2026-12-31;True;False;False;5717;476;16
7;ALAL-1200070;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2012-08-22;2022-12-31;True;False;False;3783;315;11
8;ALAL-1200175;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2012-01-10;2022-12-31;True;False;False;4008;334;11
9;ALAL-1200176;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2012-01-10;2022-12-31;True;False;False;4008;334;11
11;ALAL-1200194;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2013-08-01;2023-12-31;True;False;False;3804;317;11
12;ALAL-1200308;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2013-11-02;2023-12-31;True;False;False;3711;309;10
13;ALAL-1200341;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2013-09-05;2023-12-31;True;False;False;3769;314;10
14;ALAL-1300059;XFERA MOVILES, S.A.U.;A82528548;AVDA BRUSELAS, 38.;MADRID;MADRID;28108;2013-03-21;2023-12-31;True;False;False;3937;328;11
15;ALAL-1300196;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2013-04-07;2023-12-31;True;False;False;3920;327;11
16;ALAL-1300228;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2013-02-09;2023-12-31;True;False;False;3977;331;11
17;ALAL-1300386;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2013-10-23;2023-12-31;True;False;False;3721;310;10
18;ALAL-1300389;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2013-10-24;2023-12-31;True;False;False;3720;310;10
19;ALAL-1300395;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2013-05-11;2023-12-31;True;False;False;3886;324;11
20;ALAL-1300399;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2013-12-13;2023-12-31;True;False;False;3670;306;10
22;ALAL-1300406;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2014-01-21;2024-12-31;True;False;False;3997;333;11
23;ALAL-1300524;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2014-03-02;2024-12-31;True;False;False;3957;330;11
24;ALAL-1300535;SONIMAR TELECOM SL;B04360624;AVDA ROQUETAS;ROQUETAS;ALMERÍA;4740;2014-02-14;2024-12-31;True;False;False;3973;331;11
25;ALAL-1400014;TELPLAY SL;B73264129;CALLE JUAN RAMON JIMENEZ;PUERTO LUMBRERAS;MURCIA;30890;2014-02-28;2024-12-31;True;False;False;3959;330;11
26;ALAL-1400026;RETEVISION I SA;A62275680;VIA AV DEL PARQUE LOGISTICO, 12-20;BARCELONA;BARCELONA;8040;2014-03-17;2024-12-31;True;False;False;3942;328;11
27;ALAL-1400055;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2014-04-30;2024-12-31;True;False;False;3898;325;11
28;ALAL-1400056;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2014-05-05;2024-12-31;True;False;False;3893;324;11
29;ALAL-1400107;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2014-04-30;2024-12-31;True;False;False;3898;325;11
30;ALAL-1400139;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2014-12-05;2024-12-31;True;False;False;3679;307;10
31;ALAL-1400152;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2014-07-14;2024-12-31;True;False;False;3823;319;11
33;ALAL-1400218;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2014-07-30;2024-12-31;True;False;False;3807;317;11
34;ALAL-1400237;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2014-09-26;2024-12-31;True;False;False;3749;312;10
35;ALAL-1400250;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2014-10-10;2024-12-31;True;False;False;3735;311;10
36;ALAL-1400252;SPOTTING BRANDS TECHNOLOGIES, S.L.;B86779584;AV BRUSELAS (DE), 38;ALCOBENDAS;MADRID;28108;2014-10-23;2024-12-31;True;False;True;3722;310;10
37;ALAL-1400260;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2014-04-11;2024-12-31;True;False;False;3917;326;11
38;ALAL-1500110;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2015-04-20;2025-12-31;False;False;False;3908;326;11
39;ALAL-1500111;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2015-04-20;2025-12-31;True;False;False;3908;326;11
40;ALAL-1500112;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2015-04-27;2025-12-31;True;False;False;3901;325;11
41;ALAL-1500113;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2015-04-27;2025-12-31;True;False;False;3901;325;11
44;ALAL-1500385;AIRE NETWORKS DEL MEDITERRANEO SL UNIPERSONAL;B53704599;CL RAMON Y CAJAL,11 (PARQUE EMPRESARIAL);ELCHE;ALICANTE/ALACANT;3203;2015-02-09;2025-12-31;True;False;False;3978;332;11
45;ALAL-1500418;LIROSAN COMUNICACIONES SOCIEDAD LIMITADA;B04742409;CL ANTONIO RIPOLL JAVALOYES, 2, ESC 2. 2º 4;ELCHE;ALICANTE/ALACANT;3202;2015-09-10;2025-12-31;True;False;False;3765;314;10
